"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Automotores",2000,10,"San Luis","D",325,"74"
"Automotores",2000,10,"Santa Cruz","Z",419,"78"
"Automotores",2000,10,"Santa Fe","S",5622,"82"
"Automotores",2000,10,"Santiago del Estero","G",286,"86"
"Automotores",2000,10,"Tierra del Fuego","V",348,"94"
"Automotores",2000,10,"Tucumán","T",713,"90"
"Automotores",2000,11,"Buenos Aires","B",19297,"06"
"Automotores",2000,11,"Catamarca","K",191,"10"
"Automotores",2000,11,"Chaco","H",609,"22"
"Automotores",2000,11,"Chubut","U",925,"26"
"Automotores",2000,11,"Ciudad Autónoma de Bs.As.","C",10392,"02"
"Automotores",2000,11,"Córdoba","X",7566,"14"
"Automotores",2000,11,"Corrientes","W",628,"18"
"Automotores",2000,11,"Entre Ríos","E",1816,"30"
"Automotores",2000,11,"Formosa","P",217,"34"
"Automotores",2000,11,"Jujuy","Y",387,"38"
"Automotores",2000,11,"La Pampa","L",426,"42"
"Automotores",2000,11,"La Rioja","F",211,"46"
"Automotores",2000,11,"Mendoza","M",3577,"50"
"Automotores",2000,11,"Misiones","N",964,"54"
"Automotores",2000,11,"Neuquén","Q",772,"58"
"Automotores",2000,11,"Río Negro","R",660,"62"
"Automotores",2000,11,"Salta","A",506,"66"
"Automotores",2000,11,"San Juan","J",706,"70"
"Automotores",2000,11,"San Luis","D",356,"74"
"Automotores",2000,11,"Santa Cruz","Z",460,"78"
"Automotores",2000,11,"Santa Fe","S",5264,"82"
"Automotores",2000,11,"Santiago del Estero","G",249,"86"
"Automotores",2000,11,"Tierra del Fuego","V",426,"94"
"Automotores",2000,11,"Tucumán","T",726,"90"
"Automotores",2000,12,"Buenos Aires","B",19617,"06"
"Automotores",2000,12,"Catamarca","K",196,"10"
"Automotores",2000,12,"Chaco","H",661,"22"
"Automotores",2000,12,"Chubut","U",1032,"26"
"Automotores",2000,12,"Ciudad Autónoma de Bs.As.","C",11402,"02"
"Automotores",2000,12,"Córdoba","X",7388,"14"
"Automotores",2000,12,"Corrientes","W",661,"18"
"Automotores",2000,12,"Entre Ríos","E",1765,"30"
"Automotores",2000,12,"Formosa","P",206,"34"
"Automotores",2000,12,"Jujuy","Y",366,"38"
"Automotores",2000,12,"La Pampa","L",414,"42"
"Automotores",2000,12,"La Rioja","F",250,"46"
"Automotores",2000,12,"Mendoza","M",3495,"50"
"Automotores",2000,12,"Misiones","N",953,"54"
"Automotores",2000,12,"Neuquén","Q",867,"58"
"Automotores",2000,12,"Río Negro","R",731,"62"
"Automotores",2000,12,"Salta","A",537,"66"
"Automotores",2000,12,"San Juan","J",704,"70"
"Automotores",2000,12,"San Luis","D",320,"74"
"Automotores",2000,12,"Santa Cruz","Z",624,"78"
"Automotores",2000,12,"Santa Fe","S",5858,"82"
"Automotores",2000,12,"Santiago del Estero","G",250,"86"
"Automotores",2000,12,"Tierra del Fuego","V",630,"94"
"Automotores",2000,12,"Tucumán","T",833,"90"
"Automotores",2001,1,"Buenos Aires","B",22087,"06"
"Automotores",2001,1,"Catamarca","K",212,"10"
"Automotores",2001,1,"Chaco","H",699,"22"
"Automotores",2001,1,"Chubut","U",1114,"26"
"Automotores",2001,1,"Ciudad Autónoma de Bs.As.","C",11731,"02"
"Automotores",2001,1,"Córdoba","X",8778,"14"
"Automotores",2001,1,"Corrientes","W",707,"18"
"Automotores",2001,1,"Entre Ríos","E",1944,"30"
"Automotores",2001,1,"Formosa","P",190,"34"
"Automotores",2001,1,"Jujuy","Y",447,"38"
"Automotores",2001,1,"La Pampa","L",563,"42"
"Automotores",2001,1,"La Rioja","F",271,"46"
"Automotores",2001,1,"Mendoza","M",4106,"50"
"Automotores",2001,1,"Misiones","N",1007,"54"
"Automotores",2001,1,"Neuquén","Q",936,"58"
"Automotores",2001,1,"Río Negro","R",677,"62"
"Automotores",2001,1,"Salta","A",646,"66"
"Automotores",2001,1,"San Juan","J",809,"70"
"Automotores",2001,1,"San Luis","D",350,"74"
"Automotores",2001,1,"Santa Cruz","Z",548,"78"
"Automotores",2001,1,"Santa Fe","S",6172,"82"
"Automotores",2001,1,"Santiago del Estero","G",314,"86"
"Automotores",2001,1,"Tierra del Fuego","V",457,"94"
"Automotores",2001,1,"Tucumán","T",835,"90"
"Automotores",2001,2,"Buenos Aires","B",18935,"06"
"Automotores",2001,2,"Catamarca","K",159,"10"
"Automotores",2001,2,"Chaco","H",610,"22"
"Automotores",2001,2,"Chubut","U",977,"26"
"Automotores",2001,2,"Ciudad Autónoma de Bs.As.","C",9414,"02"
"Automotores",2001,2,"Córdoba","X",7713,"14"
"Automotores",2001,2,"Corrientes","W",637,"18"
"Automotores",2001,2,"Entre Ríos","E",1761,"30"
"Automotores",2001,2,"Formosa","P",221,"34"
"Automotores",2001,2,"Jujuy","Y",411,"38"
"Automotores",2001,2,"La Pampa","L",534,"42"
"Automotores",2001,2,"La Rioja","F",257,"46"
"Automotores",2001,2,"Mendoza","M",3480,"50"
"Automotores",2001,2,"Misiones","N",849,"54"
"Automotores",2001,2,"Neuquén","Q",731,"58"
"Automotores",2001,2,"Río Negro","R",637,"62"
"Automotores",2001,2,"Salta","A",557,"66"
"Automotores",2001,2,"San Juan","J",594,"70"
"Automotores",2001,2,"San Luis","D",338,"74"
"Automotores",2001,2,"Santa Cruz","Z",431,"78"
"Automotores",2001,2,"Santa Fe","S",5258,"82"
"Automotores",2001,2,"Santiago del Estero","G",229,"86"
"Automotores",2001,2,"Tierra del Fuego","V",360,"94"
"Automotores",2001,2,"Tucumán","T",692,"90"
"Automotores",2001,3,"Buenos Aires","B",17556,"06"
"Automotores",2001,3,"Catamarca","K",192,"10"
"Automotores",2001,3,"Chaco","H",602,"22"
"Automotores",2001,3,"Chubut","U",1030,"26"
"Automotores",2001,3,"Ciudad Autónoma de Bs.As.","C",9232,"02"
"Automotores",2001,3,"Córdoba","X",7531,"14"
"Automotores",2001,3,"Corrientes","W",644,"18"
"Automotores",2001,3,"Entre Ríos","E",1769,"30"
"Automotores",2001,3,"Formosa","P",190,"34"
"Automotores",2001,3,"Jujuy","Y",454,"38"
"Automotores",2001,3,"La Pampa","L",525,"42"
"Automotores",2001,3,"La Rioja","F",215,"46"
"Automotores",2001,3,"Mendoza","M",3960,"50"
"Automotores",2001,3,"Misiones","N",986,"54"
"Automotores",2001,3,"Neuquén","Q",712,"58"
"Automotores",2001,3,"Río Negro","R",630,"62"
"Automotores",2001,3,"Salta","A",561,"66"
"Automotores",2001,3,"San Juan","J",695,"70"
"Automotores",2001,3,"San Luis","D",370,"74"
"Automotores",2001,3,"Santa Cruz","Z",471,"78"
"Automotores",2001,3,"Santa Fe","S",5266,"82"
"Automotores",2001,3,"Santiago del Estero","G",298,"86"
"Automotores",2001,3,"Tierra del Fuego","V",407,"94"
"Automotores",2001,3,"Tucumán","T",740,"90"
